name,latitude,longitude
Accrington,53.7527983,-2.3701201
Adlington,53.6130719,-2.6028597
Aigburth,53.3645118,-2.9266096
Ainsdale,53.6018568,-3.04264
Aintree,53.4738148,-2.9563311
Altrincham,53.3876561,-2.3470824
Annan,54.9835121,-3.2628103
Ansdell & Fairhaven,53.741637,-2.993513
Apperley Bridge,53.8420442,-1.7070712
Appleby,54.58041,-2.486536
Appley Bridge,53.578708,-2.7195791
Ardwick,53.4711613,-2.2132093
Armathwaite,54.809435,-2.7720801
Arnside,54.202601,-2.8280672
Ashburys,53.4718438,-2.1952305
Ashley,53.3557218,-2.341439
Ashton-under-Lyne,53.4912163,-2.0937021
Askam,54.1891252,-3.2045609
Aspatria,54.7589539,-3.3318813
Atherton,53.5290757,-2.4778339
Aughton Park,53.5541643,-2.8953003
Bache,53.2082623,-2.8913945
Bamber Bridge,53.7269093,-2.6614198
Bank Hall,53.4378965,-2.9878045
Bare Lane,54.0746566,-2.8349663
Bardon Mill,54.9745437,-2.3450711
Barrow-in-Furness,54.1191205,-3.2260261
Batley,53.7102081,-1.6230114
Bebington,53.3576614,-3.0030663
Bentham,54.1154922,-2.5106193
Bescar Lane,53.6238457,-2.9145518
Bidston,53.4093577,-3.078782
Bingley,53.8487153,-1.837164
Birchwood,53.4127822,-2.5251395
Birkdale,53.6338886,-3.0146159
Birkenhead Central,53.3881969,-3.020883
Birkenhead Hamilton Sq,53.3943237,-3.0140763
Birkenhead North,53.404707,-3.0579268
Birkenhead Park,53.3975951,-3.0398169
Blackburn,53.749326,-2.4840566
Blackpool North,53.8229372,-3.048373
Blackpool Pleasure Beach,53.787882,-3.0538832
Blackpool South,53.7984415,-3.04882
Blackrod,53.5912146,-2.5698672
Blundellsands & Crosby,53.4877265,-3.0404348
Bolton,53.5735158,-2.4251259
Bootle,54.2911815,-3.3938356
Bootle New Strand,53.4527853,-2.9946156
Bootle Oriel Road,53.4467,-2.9956678
Bradford Forster Square,53.7974731,-1.7532149
Bradford Interchange,53.790494,-1.7491251
Bramley,53.8053522,-1.6372217
Brampton,54.9321536,-2.7038502
Braystones,54.4395084,-3.5419705
Brierfield,53.8243669,-2.236243
Brighouse,53.6981649,-1.7793363
Broad Green,53.4065083,-2.8933889
Bromborough,53.3218579,-2.9868878
Bromborough Rake,53.3302771,-2.9902234
Bromley Cross,53.6139542,-2.4108352
Brunswick,53.3832177,-2.9760156
Bryn,53.4997249,-2.6476163
Buckshaw Parkway,53.6729554,-2.6589846
Burnage,53.4221262,-2.2151579
Burneside,54.3555182,-2.767351
Burnley Barracks,53.790928,-2.2579533
Burnley Central,53.7935522,-2.2447896
Burnley Manchester Road,53.7851712,-2.2493172
Burscough Bridge,53.6054245,-2.8416523
Burscough Junction,53.5975512,-2.8405323
